name,true-positives,false-positives,true-negatives,false-negatives,recall,selectivity,precision,miss-rate,fall-out,balanced-accuracy,accuracy,train-amount,test-amount,eval-amount,worker,cycle
logistic-regression-testing,773,326,15712,3189,0.1951,0.97967,0.70337,0.8049,0.02033,0.58739,0.82425,180000,20000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-evaluation,2027,790,39021,8162,0.19894,0.98016,0.71956,0.80106,0.01984,0.58955,0.82096,180000,0,50000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-testing,805,422,15616,3157,0.20318,0.97369,0.65607,0.79682,0.02631,0.58843,0.82105,180000,20000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-evaluation,2111,1025,38786,8078,0.20718,0.97425,0.67315,0.79282,0.02575,0.59072,0.81794,180000,0,50000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-testing,805,502,15536,3157,0.20318,0.9687,0.61591,0.79682,0.0313,0.58594,0.81705,180000,20000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-evaluation,2111,1246,38565,8078,0.20718,0.9687,0.62884,0.79282,0.0313,0.58794,0.81352,180000,0,50000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-testing,805,604,15434,3157,0.20318,0.96234,0.57133,0.79682,0.03766,0.58276,0.81195,180000,20000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-evaluation,2111,1466,38345,8078,0.20718,0.96318,0.59016,0.79282,0.03682,0.58518,0.80912,180000,0,50000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-testing,808,703,15335,3154,0.20394,0.95617,0.53475,0.79606,0.04383,0.58005,0.80715,180000,20000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-evaluation,2123,1677,38134,8066,0.20836,0.95788,0.55868,0.79164,0.04212,0.58312,0.80514,180000,0,50000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-testing,785,329,15729,3157,0.19914,0.97951,0.70467,0.80086,0.02049,0.58932,0.8257,180000,20000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-evaluation,2093,854,39172,7881,0.20985,0.97866,0.71021,0.79015,0.02134,0.59425,0.8253,180000,0,50000,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-testing,794,412,15646,3148,0.20142,0.97434,0.65837,0.79858,0.02566,0.58788,0.822,180000,20000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-evaluation,2091,1120,38906,7883,0.20965,0.97202,0.6512,0.79035,0.02798,0.59083,0.81994,180000,0,50000,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-testing,794,502,15556,3148,0.20142,0.96874,0.61265,0.79858,0.03126,0.58508,0.8175,180000,20000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-evaluation,2091,1354,38672,7883,0.20965,0.96617,0.60697,0.79035,0.03383,0.58791,0.81526,180000,0,50000,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-testing,801,594,15464,3141,0.2032,0.96301,0.57419,0.7968,0.03699,0.5831,0.81325,180000,20000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-evaluation,2094,1602,38424,7880,0.20995,0.95998,0.56656,0.79005,0.04002,0.58496,0.81036,180000,0,50000,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-testing,801,693,15365,3141,0.2032,0.95684,0.53614,0.7968,0.04316,0.58002,0.8083,180000,20000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
logistic-regression-evaluation,2094,1816,38210,7880,0.20995,0.95463,0.53555,0.79005,0.04537,0.58229,0.80608,180000,0,50000,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
